NOC,Sport,Bronze Medals,Gold Medals,No Medals,Silver Medals,Total_Bronze,Total_Gold,Total_No_Medal,Total_Silver,Gold_Ratio,Silver_Ratio,Bronze_Ratio,No_Medal_Ratio
ITA,Rhythmic Gymnastics,11,0,37,6,50,50,604,50,0.0,0.12,0.22,0.061258278145695365
ITA,Rowing,74,56,364,61,1038,1026,8032,1025,0.05458089668615984,0.05951219512195122,0.07129094412331406,0.045318725099601595
ITA,Sailing,13,11,243,4,382,465,5659,430,0.023655913978494623,0.009302325581395349,0.034031413612565446,0.04294044884255169
ITA,Shooting,11,16,315,17,425,428,10743,429,0.037383177570093455,0.039627039627039624,0.02588235294117647,0.02932141859815694
ITA,Skateboarding,0,0,3,0,4,4,68,4,0.0,0.0,0.0,0.04411764705882353
ITA,Softball,0,0,30,0,59,60,299,60,0.0,0.0,0.0,0.10033444816053512
ITA,Sport Climbing,0,0,3,0,2,2,34,2,0.0,0.0,0.0,0.08823529411764706
ITA,Surfing,0,0,1,0,2,2,34,2,0.0,0.0,0.0,0.029411764705882353
ITA,Swimming,24,5,753,11,1027,1169,21573,1060,0.00427715996578272,0.010377358490566037,0.023369036027263874,0.03490474203865943
ITA,Synchronized Swimming,0,0,52,0,70,74,694,71,0.0,0.0,0.0,0.07492795389048991
ITA,Table Tennis,0,0,20,0,70,64,2020,64,0.0,0.0,0.0,0.009900990099009901
ITA,Taekwondo,1,2,9,1,80,48,560,48,0.041666666666666664,0.020833333333333332,0.0125,0.01607142857142857
ITA,Tennis,1,0,116,0,136,114,2788,114,0.0,0.0,0.007352941176470588,0.04160688665710186
ITA,Trampolining,0,0,3,0,10,10,122,10,0.0,0.0,0.0,0.02459016393442623
ITA,Triathlon,0,0,27,0,17,17,660,17,0.0,0.0,0.0,0.04090909090909091
ITA,Tug-Of-War,0,0,8,0,29,43,55,43,0.0,0.0,0.0,0.14545454545454545
ITA,Volleyball,36,0,144,36,349,346,2651,346,0.0,0.10404624277456648,0.10315186246418338,0.05431912485854395
ITA,Water Polo,37,46,172,37,386,376,2997,373,0.12234042553191489,0.09919571045576407,0.09585492227979274,0.05739072405739072
ITA,Weightlifting,7,5,81,6,230,231,3446,227,0.021645021645021644,0.02643171806167401,0.030434782608695653,0.023505513639001743
ITA,Wrestling,11,7,144,4,504,431,6075,433,0.016241299303944315,0.009237875288683603,0.021825396825396824,0.023703703703703703
IVB,Athletics,0,0,33,0,1373,1422,36743,1404,0.0,0.0,0.0,0.0008981302561032033
IVB,Sailing,0,0,10,0,382,465,5659,430,0.0,0.0,0.0,0.0017670966601873123
IVB,Swimming,0,0,2,0,1027,1169,21573,1060,0.0,0.0,0.0,9.270847819033051e-05
JAM,Artistic Gymnastics,0,0,1,0,21,20,1000,20,0.0,0.0,0.0,0.001
JAM,Athletics,54,47,583,76,1373,1422,36743,1404,0.03305203938115331,0.05413105413105413,0.03932993445010925,0.01586696785782326
JAM,Badminton,0,0,1,0,68,62,1446,62,0.0,0.0,0.0,0.0006915629322268327
JAM,Boxing,0,0,23,0,467,265,5340,264,0.0,0.0,0.0,0.004307116104868914
JAM,Cycling,1,0,34,0,414,424,9596,425,0.0,0.0,0.0024154589371980675,0.0035431429762401
JAM,Diving,0,0,3,0,155,154,2558,154,0.0,0.0,0.0,0.0011727912431587178
JAM,Equestrianism,0,0,2,0,319,324,5379,322,0.0,0.0,0.0,0.0003718163227365681
JAM,Gymnastics,0,0,4,0,719,791,24451,746,0.0,0.0,0.0,0.0001635924911046583
JAM,Judo,0,0,1,0,325,162,3668,162,0.0,0.0,0.0,0.0002726281352235551
JAM,Sailing,0,0,17,0,382,465,5659,430,0.0,0.0,0.0,0.003004064322318431
JAM,Shooting,0,0,2,0,425,428,10743,429,0.0,0.0,0.0,0.00018616773713115518
JAM,Swimming,0,0,42,0,1027,1169,21573,1060,0.0,0.0,0.0,0.0019468780419969406
JAM,Table Tennis,0,0,6,0,70,64,2020,64,0.0,0.0,0.0,0.0029702970297029703
JAM,Taekwondo,0,0,1,0,80,48,560,48,0.0,0.0,0.0,0.0017857142857142857
JAM,Triathlon,0,0,1,0,17,17,660,17,0.0,0.0,0.0,0.0015151515151515152
JAM,Weightlifting,0,0,5,0,230,231,3446,227,0.0,0.0,0.0,0.0014509576320371445
JOR,Archery,0,0,1,0,108,145,2209,130,0.0,0.0,0.0,0.0004526935264825713
JOR,Athletics,0,0,22,0,1373,1422,36743,1404,0.0,0.0,0.0,0.0005987535040688023
JOR,Boxing,0,0,10,0,467,265,5340,264,0.0,0.0,0.0,0.0018726591760299626
JOR,Equestrian,0,0,1,0,14,15,377,14,0.0,0.0,0.0,0.002652519893899204
JOR,Equestrianism,0,0,4,0,319,324,5379,322,0.0,0.0,0.0,0.0007436326454731362
JOR,Fencing,0,0,2,0,596,624,9321,613,0.0,0.0,0.0,0.000214569252226156
JOR,Judo,0,0,2,0,325,162,3668,162,0.0,0.0,0.0,0.0005452562704471102
JOR,Karate,1,0,0,0,16,8,49,8,0.0,0.0,0.0625,0.0
JOR,Shooting,0,0,17,0,425,428,10743,429,0.0,0.0,0.0,0.0015824257656148189
JOR,Swimming,0,0,15,0,1027,1169,21573,1060,0.0,0.0,0.0,0.0006953135864274788
JOR,Table Tennis,0,0,5,0,70,64,2020,64,0.0,0.0,0.0,0.0024752475247524753
JOR,Taekwondo,0,1,8,1,80,48,560,48,0.020833333333333332,0.020833333333333332,0.0,0.014285714285714285
JOR,Triathlon,0,0,1,0,17,17,660,17,0.0,0.0,0.0,0.0015151515151515152
JOR,Wrestling,0,0,4,0,504,431,6075,433,0.0,0.0,0.0,0.0006584362139917696
JPN,3x3 Basketball,0,0,8,0,8,8,40,8,0.0,0.0,0.0,0.2
JPN,Archery,8,0,95,3,108,145,2209,130,0.0,0.023076923076923078,0.07407407407407407,0.04300588501584427
JPN,Art Competitions,2,0,127,0,51,49,3422,56,0.0,0.0,0.0392156862745098,0.03711279953243717
JPN,Artistic Gymnastics,2,2,56,4,21,20,1000,20,0.1,0.2,0.09523809523809523,0.056
JPN,Artistic Swimming,0,0,10,0,10,10,94,10,0.0,0.0,0.0,0.10638297872340426
JPN,Athletics,10,7,822,16,1373,1422,36743,1404,0.004922644163150493,0.011396011396011397,0.007283321194464676,0.02237160819747979
JPN,Badminton,3,2,80,2,68,62,1446,62,0.03225806451612903,0.03225806451612903,0.04411764705882353,0.05532503457814661
JPN,Baseball,44,0,48,20,112,112,558,112,0.0,0.17857142857142858,0.39285714285714285,0.08602150537634409
JPN,Baseball/Softball,0,39,0,0,39,39,117,39,1.0,0.0,0.0,0.0
JPN,Basketball,0,0,127,12,380,389,3672,383,0.0,0.031331592689295036,0.0,0.034586056644880174
JPN,Beach Volleyball,0,0,22,0,28,28,576,28,0.0,0.0,0.0,0.03819444444444445
JPN,Boxing,5,3,75,0,467,265,5340,264,0.011320754716981131,0.0,0.010706638115631691,0.014044943820224719
JPN,Canoe Slalom,0,0,4,0,4,4,79,4,0.0,0.0,0.0,0.05063291139240506
JPN,Canoe Sprint,0,0,11,0,22,22,346,22,0.0,0.0,0.0,0.031791907514450865
JPN,Canoeing,1,0,97,0,389,388,5006,388,0.0,0.0,0.002570694087403599,0.01937674790251698
JPN,Cycling,3,0,164,3,414,424,9596,425,0.0,0.007058823529411765,0.007246376811594203,0.01709045435598166
JPN,Cycling BMX Freestyle,0,0,2,0,2,2,12,2,0.0,0.0,0.0,0.16666666666666666
JPN,Cycling BMX Racing,0,0,2,0,2,2,42,2,0.0,0.0,0.0,0.047619047619047616
JPN,Cycling Mountain Bike,0,0,2,0,2,2,70,2,0.0,0.0,0.0,0.02857142857142857
JPN,Cycling Road,0,0,5,0,4,4,247,4,0.0,0.0,0.0,0.020242914979757085
JPN,Cycling Track,0,0,11,1,29,29,339,29,0.0,0.034482758620689655,0.0,0.032448377581120944
JPN,Diving,0,0,106,0,155,154,2558,154,0.0,0.0,0.0,0.04143862392494136
JPN,Equestrian,0,0,23,0,14,15,377,14,0.0,0.0,0.0,0.0610079575596817
JPN,Equestrianism,0,1,198,0,319,324,5379,322,0.0030864197530864196,0.0,0.0,0.03680981595092025
JPN,Fencing,0,4,196,5,596,624,9321,613,0.00641025641025641,0.008156606851549755,0.0,0.021027786718163285
JPN,Football,16,0,230,18,587,559,5650,557,0.0,0.03231597845601436,0.027257240204429302,0.04070796460176991
JPN,Golf,0,0,7,1,18,17,315,17,0.0,0.058823529411764705,0.0,0.022222222222222223
JPN,Gymnastics,54,65,1050,47,719,791,24451,746,0.08217446270543616,0.06300268096514745,0.07510431154381085,0.0429430289149728
JPN,Handball,0,0,97,0,384,381,2880,388,0.0,0.0,0.0,0.033680555555555554
JPN,Hockey,0,0,150,11,548,554,4213,534,0.0,0.020599250936329586,0.0,0.03560408260147164
JPN,Judo,27,48,48,32,325,162,3668,162,0.2962962962962963,0.19753086419753085,0.08307692307692308,0.013086150490730643
JPN,Karate,1,1,5,1,16,8,49,8,0.125,0.125,0.0625,0.10204081632653061
JPN,Marathon Swimming,0,0,2,0,2,2,45,2,0.0,0.0,0.0,0.044444444444444446
JPN,Modern Pentathlon,0,0,49,0,64,64,1557,64,0.0,0.0,0.0,0.03147077713551702
JPN,Rhythmic Gymnastics,0,0,40,0,50,50,604,50,0.0,0.0,0.0,0.06622516556291391
JPN,Rowing,0,0,183,0,1038,1026,8032,1025,0.0,0.0,0.0,0.02278386454183267
JPN,Rugby Sevens,0,0,51,0,51,51,459,50,0.0,0.0,0.0,0.1111111111111111
JPN,Sailing,2,0,127,2,382,465,5659,430,0.0,0.004651162790697674,0.005235602094240838,0.022442127584378864
JPN,Shooting,3,1,210,2,425,428,10743,429,0.002336448598130841,0.004662004662004662,0.007058823529411765,0.019547612398771293
JPN,Skateboarding,1,3,5,1,4,4,68,4,0.75,0.25,0.25,0.07352941176470588
JPN,Softball,14,15,15,15,59,60,299,60,0.25,0.25,0.23728813559322035,0.05016722408026756
JPN,Sport Climbing,1,0,2,1,2,2,34,2,0.0,0.5,0.5,0.058823529411764705
JPN,Surfing,1,0,2,1,2,2,34,2,0.0,0.5,0.5,0.058823529411764705
JPN,Swimming,56,30,790,40,1027,1169,21573,1060,0.02566295979469632,0.03773584905660377,0.054527750730282376,0.03661984888518055
JPN,Synchronized Swimming,30,0,26,22,70,74,694,71,0.0,0.30985915492957744,0.42857142857142855,0.037463976945244955
JPN,Table Tennis,8,2,91,9,70,64,2020,64,0.03125,0.140625,0.11428571428571428,0.04504950495049505
JPN,Taekwondo,1,0,10,0,80,48,560,48,0.0,0.0,0.0125,0.017857142857142856
JPN,Tennis,1,0,78,3,136,114,2788,114,0.0,0.02631578947368421,0.007352941176470588,0.027977044476327116
JPN,Trampoline Gymnastics,0,0,4,0,2,2,26,2,0.0,0.0,0.0,0.15384615384615385
JPN,Trampolining,0,0,12,0,10,10,122,10,0.0,0.0,0.0,0.09836065573770492
JPN,Triathlon,0,0,33,0,17,17,660,17,0.0,0.0,0.0,0.05
JPN,Volleyball,33,36,155,32,349,346,2651,346,0.10404624277456648,0.09248554913294797,0.09455587392550144,0.05846850245190494
JPN,Water Polo,0,0,102,0,386,376,2997,373,0.0,0.0,0.0,0.03403403403403404
JPN,Weightlifting,10,2,103,3,230,231,3446,227,0.008658008658008658,0.013215859030837005,0.043478260869565216,0.029889727219965176
JPN,Wrestling,18,37,174,21,504,431,6075,433,0.08584686774941995,0.04849884526558892,0.03571428571428571,0.028641975308641977
KAZ,Archery,0,0,33,0,108,145,2209,130,0.0,0.0,0.0,0.014938886373924853
KAZ,Artistic Gymnastics,0,0,7,0,21,20,1000,20,0.0,0.0,0.0,0.007
KAZ,Artistic Swimming,0,0,2,0,10,10,94,10,0.0,0.0,0.0,0.02127659574468085
KAZ,Athletics,2,2,144,0,1373,1422,36743,1404,0.0014064697609001407,0.0,0.0014566642388929353,0.003919113844813978
KAZ,Boxing,10,7,41,7,467,265,5340,264,0.026415094339622643,0.026515151515151516,0.021413276231263382,0.007677902621722846
KAZ,Canoe Slalom,0,0,2,0,4,4,79,4,0.0,0.0,0.0,0.02531645569620253
KAZ,Canoe Sprint,0,0,8,0,22,22,346,22,0.0,0.0,0.0,0.023121387283236993
KAZ,Canoeing,0,0,68,0,389,388,5006,388,0.0,0.0,0.0,0.013583699560527367
KAZ,Cycling,0,1,39,1,414,424,9596,425,0.0023584905660377358,0.002352941176470588,0.0,0.004064193413922467
KAZ,Cycling Road,0,0,4,0,4,4,247,4,0.0,0.0,0.0,0.016194331983805668
KAZ,Cycling Track,0,0,3,0,29,29,339,29,0.0,0.0,0.0,0.008849557522123894
KAZ,Diving,0,0,13,0,155,154,2558,154,0.0,0.0,0.0,0.0050820953870211105
KAZ,Fencing,0,0,11,0,596,624,9321,613,0.0,0.0,0.0,0.001180130887243858
KAZ,Gymnastics,0,0,45,0,719,791,24451,746,0.0,0.0,0.0,0.0018404155249274058
KAZ,Handball,0,0,14,0,384,381,2880,388,0.0,0.0,0.0,0.004861111111111111
KAZ,Judo,2,0,51,2,325,162,3668,162,0.0,0.012345679012345678,0.006153846153846154,0.013904034896401308
KAZ,Karate,2,0,3,0,16,8,49,8,0.0,0.0,0.125,0.061224489795918366
KAZ,Marathon Swimming,0,0,1,0,2,2,45,2,0.0,0.0,0.0,0.022222222222222223
KAZ,Modern Pentathlon,0,1,11,0,64,64,1557,64,0.015625,0.0,0.0,0.007064868336544637
KAZ,Rhythmic Gymnastics,0,0,5,0,50,50,604,50,0.0,0.0,0.0,0.008278145695364239
KAZ,Rowing,0,0,9,0,1038,1026,8032,1025,0.0,0.0,0.0,0.0011205179282868527
KAZ,Shooting,1,0,55,2,425,428,10743,429,0.0,0.004662004662004662,0.002352941176470588,0.005119612771106767
KAZ,Sport Climbing,0,0,1,0,2,2,34,2,0.0,0.0,0.0,0.029411764705882353
KAZ,Swimming,0,1,70,0,1027,1169,21573,1060,0.000855431993156544,0.0,0.0,0.0032447967366615676
KAZ,Synchronized Swimming,0,0,10,0,70,74,694,71,0.0,0.0,0.0,0.01440922190201729
KAZ,Table Tennis,0,0,4,0,70,64,2020,64,0.0,0.0,0.0,0.0019801980198019802
KAZ,Taekwondo,1,0,10,0,80,48,560,48,0.0,0.0,0.0125,0.017857142857142856
KAZ,Tennis,0,0,18,0,136,114,2788,114,0.0,0.0,0.0,0.006456241032998565
KAZ,Trampolining,0,0,1,0,10,10,122,10,0.0,0.0,0.0,0.00819672131147541
KAZ,Triathlon,0,0,6,0,17,17,660,17,0.0,0.0,0.0,0.00909090909090909
KAZ,Volleyball,0,0,12,0,349,346,2651,346,0.0,0.0,0.0,0.004526593738211996
KAZ,Water Polo,0,0,74,0,386,376,2997,373,0.0,0.0,0.0,0.024691358024691357
KAZ,Weightlifting,7,6,24,5,230,231,3446,227,0.025974025974025976,0.022026431718061675,0.030434782608695653,0.006964596633778294
KAZ,Wrestling,12,1,70,5,504,431,6075,433,0.002320185614849188,0.011547344110854504,0.023809523809523808,0.011522633744855968
KEN,Archery,0,0,4,0,108,145,2209,130,0.0,0.0,0.0,0.0018107741059302852
KEN,Athletics,28,37,399,44,1373,1422,36743,1404,0.026019690576652602,0.03133903133903134,0.02039329934450109,0.010859211278338731
KEN,Beach Volleyball,0,0,2,0,28,28,576,28,0.0,0.0,0.0,0.003472222222222222
KEN,Boxing,5,1,59,1,467,265,5340,264,0.0037735849056603774,0.003787878787878788,0.010706638115631691,0.011048689138576779
KEN,Cycling,0,0,1,0,414,424,9596,425,0.0,0.0,0.0,0.00010421008753647353
KEN,Hockey,0,0,110,0,548,554,4213,534,0.0,0.0,0.0,0.02610966057441253
KEN,Judo,0,0,8,0,325,162,3668,162,0.0,0.0,0.0,0.0021810250817884407
KEN,Rowing,0,0,2,0,1038,1026,8032,1025,0.0,0.0,0.0,0.000249003984063745
KEN,Rugby Sevens,0,0,50,0,51,51,459,50,0.0,0.0,0.0,0.10893246187363835
KEN,Sailing,0,0,4,0,382,465,5659,430,0.0,0.0,0.0,0.0007068386640749249
KEN,Shooting,0,0,32,0,425,428,10743,429,0.0,0.0,0.0,0.002978683794098483
KEN,Swimming,0,0,15,0,1027,1169,21573,1060,0.0,0.0,0.0,0.0006953135864274788
KEN,Taekwondo,0,0,3,0,80,48,560,48,0.0,0.0,0.0,0.005357142857142857
KEN,Volleyball,0,0,36,0,349,346,2651,346,0.0,0.0,0.0,0.013579781214635987
KEN,Weightlifting,0,0,9,0,230,231,3446,227,0.0,0.0,0.0,0.00261172373766686
KEN,Wrestling,0,0,7,0,504,431,6075,433,0.0,0.0,0.0,0.0011522633744855968
KGZ,Athletics,0,0,35,0,1373,1422,36743,1404,0.0,0.0,0.0,0.0009525623928367308
KGZ,Boxing,0,0,12,0,467,265,5340,264,0.0,0.0,0.0,0.0022471910112359553
KGZ,Canoeing,0,0,4,0,389,388,5006,388,0.0,0.0,0.0,0.0007990411506192569
KGZ,Cycling,0,0,5,0,414,424,9596,425,0.0,0.0,0.0,0.0005210504376823677
KGZ,Fencing,0,0,3,0,596,624,9321,613,0.0,0.0,0.0,0.000321853878339234
KGZ,Judo,1,0,14,0,325,162,3668,162,0.0,0.0,0.003076923076923077,0.003816793893129771
KGZ,Modern Pentathlon,0,0,3,0,64,64,1557,64,0.0,0.0,0.0,0.0019267822736030828
KGZ,Sailing,0,0,1,0,382,465,5659,430,0.0,0.0,0.0,0.00017670966601873123
KGZ,Shooting,0,0,19,0,425,428,10743,429,0.0,0.0,0.0,0.0017685935027459741
KGZ,Swimming,0,0,79,0,1027,1169,21573,1060,0.0,0.0,0.0,0.0036619848885180548
KGZ,Taekwondo,0,0,2,0,80,48,560,48,0.0,0.0,0.0,0.0035714285714285713
KGZ,Weightlifting,0,0,8,0,230,231,3446,227,0.0,0.0,0.0,0.0023215322112594312
KGZ,Wrestling,2,0,38,3,504,431,6075,433,0.0,0.006928406466512702,0.003968253968253968,0.006255144032921811
KIR,Athletics,0,0,8,0,1373,1422,36743,1404,0.0,0.0,0.0,0.00021772854693410989
KIR,Judo,0,0,1,0,325,162,3668,162,0.0,0.0,0.0,0.0002726281352235551
KIR,Weightlifting,0,0,5,0,230,231,3446,227,0.0,0.0,0.0,0.0014509576320371445
KOR,Archery,9,58,38,11,108,145,2209,130,0.4,0.08461538461538462,0.08333333333333333,0.017202354006337708
KOR,Artistic Gymnastics,1,1,40,0,21,20,1000,20,0.05,0.0,0.047619047619047616,0.04
KOR,Athletics,0,1,248,1,1373,1422,36743,1404,0.0007032348804500703,0.0007122507122507123,0.0,0.006749584954957407
KOR,Badminton,14,11,86,12,68,62,1446,62,0.1774193548387097,0.1935483870967742,0.20588235294117646,0.059474412171507604
KOR,Baseball,24,24,20,0,112,112,558,112,0.21428571428571427,0.0,0.21428571428571427,0.035842293906810034
KOR,Baseball/Softball,0,0,24,0,39,39,117,39,0.0,0.0,0.0,0.20512820512820512
KOR,Basketball,0,0,135,11,380,389,3672,383,0.0,0.028720626631853787,0.0,0.03676470588235294
KOR,Boxing,10,3,92,7,467,265,5340,264,0.011320754716981131,0.026515151515151516,0.021413276231263382,0.017228464419475654
KOR,Canoe Sprint,0,0,1,0,22,22,346,22,0.0,0.0,0.0,0.002890173410404624
KOR,Canoeing,0,0,48,0,389,388,5006,388,0.0,0.0,0.0,0.009588493807431082
KOR,Cycling,0,0,113,0,414,424,9596,425,0.0,0.0,0.0,0.01177573989162151
KOR,Cycling Road,0,0,1,0,4,4,247,4,0.0,0.0,0.0,0.004048582995951417
KOR,Cycling Track,0,0,2,0,29,29,339,29,0.0,0.0,0.0,0.0058997050147492625
KOR,Diving,0,0,35,0,155,154,2558,154,0.0,0.0,0.0,0.013682564503518374
KOR,Equestrian,0,0,1,0,14,15,377,14,0.0,0.0,0.0,0.002652519893899204
KOR,Equestrianism,0,0,54,0,319,324,5379,322,0.0,0.0,0.0,0.010039040713887339
KOR,Fencing,17,11,191,9,596,624,9321,613,0.017628205128205128,0.01468189233278956,0.028523489932885907,0.020491363587597896
KOR,Football,18,0,160,0,587,559,5650,557,0.0,0.0,0.030664395229982964,0.02831858407079646
KOR,Golf,0,1,11,0,18,17,315,17,0.058823529411764705,0.0,0.0,0.03492063492063492
KOR,Gymnastics,4,1,503,4,719,791,24451,746,0.0012642225031605564,0.005361930294906166,0.005563282336578581,0.020571755756410782
KOR,Handball,14,25,147,57,384,381,2880,388,0.06561679790026247,0.14690721649484537,0.036458333333333336,0.051041666666666666
KOR,Hockey,0,0,177,48,548,554,4213,534,0.0,0.0898876404494382,0.0,0.04201281746973653
KOR,Judo,18,11,99,17,325,162,3668,162,0.06790123456790123,0.10493827160493827,0.055384615384615386,0.02699018538713195
KOR,Karate,0,0,1,0,16,8,49,8,0.0,0.0,0.0,0.02040816326530612
KOR,Modern Pentathlon,1,0,34,0,64,64,1557,64,0.0,0.0,0.015625,0.021836865767501604
KOR,Rhythmic Gymnastics,0,0,7,0,50,50,604,50,0.0,0.0,0.0,0.011589403973509934
KOR,Rowing,0,0,65,0,1038,1026,8032,1025,0.0,0.0,0.0,0.008092629482071713
KOR,Rugby Sevens,0,0,13,0,51,51,459,50,0.0,0.0,0.0,0.02832244008714597
KOR,Sailing,0,0,44,0,382,465,5659,430,0.0,0.0,0.0,0.007775225304824174
KOR,Shooting,1,7,213,9,425,428,10743,429,0.016355140186915886,0.02097902097902098,0.002352941176470588,0.019826864004468026
KOR,Sport Climbing,0,0,2,0,2,2,34,2,0.0,0.0,0.0,0.058823529411764705
KOR,Swimming,0,1,246,3,1027,1169,21573,1060,0.000855431993156544,0.002830188679245283,0.0,0.011403142817410653
KOR,Synchronized Swimming,0,0,11,0,70,74,694,71,0.0,0.0,0.0,0.01585014409221902
KOR,Table Tennis,23,4,80,6,70,64,2020,64,0.0625,0.09375,0.32857142857142857,0.039603960396039604
KOR,Taekwondo,7,12,5,3,80,48,560,48,0.25,0.0625,0.0875,0.008928571428571428
KOR,Tennis,0,0,30,0,136,114,2788,114,0.0,0.0,0.0,0.010760401721664276
KOR,Triathlon,0,0,1,0,17,17,660,17,0.0,0.0,0.0,0.0015151515151515152
KOR,Volleyball,12,0,215,0,349,346,2651,346,0.0,0.0,0.034383954154727794,0.08110147114296491
KOR,Water Polo,0,0,13,0,386,376,2997,373,0.0,0.0,0.0,0.004337671004337671
KOR,Weightlifting,5,3,112,4,230,231,3446,227,0.012987012987012988,0.01762114537444934,0.021739130434782608,0.03250145095763204
KOR,Wrestling,14,11,122,11,504,431,6075,433,0.025522041763341066,0.025404157043879907,0.027777777777777776,0.02008230452674897
KOS,Athletics,0,0,3,0,1373,1422,36743,1404,0.0,0.0,0.0,8.164820510029122e-05
KOS,Boxing,0,0,1,0,467,265,5340,264,0.0,0.0,0.0,0.00018726591760299626
KOS,Cycling,0,0,1,0,414,424,9596,425,0.0,0.0,0.0,0.00010421008753647353
KOS,Judo,0,3,4,0,325,162,3668,162,0.018518518518518517,0.0,0.0,0.0010905125408942203
KOS,Shooting,0,0,2,0,425,428,10743,429,0.0,0.0,0.0,0.00018616773713115518
KOS,Swimming,0,0,4,0,1027,1169,21573,1060,0.0,0.0,0.0,0.00018541695638066101
KOS,Wrestling,0,0,1,0,504,431,6075,433,0.0,0.0,0.0,0.0001646090534979424
KSA,Archery,0,0,5,0,108,145,2209,130,0.0,0.0,0.0,0.0022634676324128564
KSA,Athletics,0,0,106,1,1373,1422,36743,1404,0.0,0.0007122507122507123,0.0,0.0028849032468769562
KSA,Cycling,0,0,14,0,414,424,9596,425,0.0,0.0,0.0,0.0014589412255106293
KSA,Equestrianism,5,0,23,0,319,324,5379,322,0.0,0.0,0.01567398119122257,0.0042758877114705334
KSA,Fencing,0,0,12,0,596,624,9321,613,0.0,0.0,0.0,0.001287415513356936
KSA,Football,0,0,52,0,587,559,5650,557,0.0,0.0,0.0,0.009203539823008849
KSA,Judo,0,0,5,0,325,162,3668,162,0.0,0.0,0.0,0.0013631406761177754
KSA,Karate,0,0,0,1,16,8,49,8,0.0,0.125,0.0,0.0
KSA,Rowing,0,0,1,0,1038,1026,8032,1025,0.0,0.0,0.0,0.0001245019920318725
KSA,Shooting,0,0,15,0,425,428,10743,429,0.0,0.0,0.0,0.0013962580284836638
KSA,Swimming,0,0,10,0,1027,1169,21573,1060,0.0,0.0,0.0,0.0004635423909516525
KSA,Table Tennis,0,0,3,0,70,64,2020,64,0.0,0.0,0.0,0.0014851485148514852
KSA,Taekwondo,0,0,1,0,80,48,560,48,0.0,0.0,0.0,0.0017857142857142857
KSA,Weightlifting,0,0,9,0,230,231,3446,227,0.0,0.0,0.0,0.00261172373766686
KUW,Athletics,0,0,51,0,1373,1422,36743,1404,0.0,0.0,0.0,0.0013880194867049505
KUW,Boxing,0,0,3,0,467,265,5340,264,0.0,0.0,0.0,0.0005617977528089888
KUW,Diving,0,0,8,0,155,154,2558,154,0.0,0.0,0.0,0.003127443315089914
KUW,Fencing,0,0,57,0,596,624,9321,613,0.0,0.0,0.0,0.006115223688445446
KUW,Football,0,0,51,0,587,559,5650,557,0.0,0.0,0.0,0.009026548672566371
KUW,Handball,0,0,26,0,384,381,2880,388,0.0,0.0,0.0,0.009027777777777777
KUW,Judo,0,0,24,0,325,162,3668,162,0.0,0.0,0.0,0.006543075245365322
KUW,Karate,0,0,1,0,16,8,49,8,0.0,0.0,0.0,0.02040816326530612
KUW,Rowing,0,0,2,0,1038,1026,8032,1025,0.0,0.0,0.0,0.000249003984063745
KUW,Shooting,3,0,25,0,425,428,10743,429,0.0,0.0,0.007058823529411765,0.0023270967141394397
KUW,Swimming,0,0,37,0,1027,1169,21573,1060,0.0,0.0,0.0,0.0017151068465211144
KUW,Table Tennis,0,0,3,0,70,64,2020,64,0.0,0.0,0.0,0.0014851485148514852
KUW,Taekwondo,0,0,1,0,80,48,560,48,0.0,0.0,0.0,0.0017857142857142857
KUW,Weightlifting,0,0,2,0,230,231,3446,227,0.0,0.0,0.0,0.0005803830528148578
LAO,Archery,0,0,1,0,108,145,2209,130,0.0,0.0,0.0,0.0004526935264825713
LAO,Athletics,0,0,29,0,1373,1422,36743,1404,0.0,0.0,0.0,0.0007892659826361484
LAO,Boxing,0,0,9,0,467,265,5340,264,0.0,0.0,0.0,0.0016853932584269663
LAO,Cycling,0,0,1,0,414,424,9596,425,0.0,0.0,0.0,0.00010421008753647353
LAO,Judo,0,0,2,0,325,162,3668,162,0.0,0.0,0.0,0.0005452562704471102
LAO,Shooting,0,0,6,0,425,428,10743,429,0.0,0.0,0.0,0.0005585032113934655
LAO,Swimming,0,0,10,0,1027,1169,21573,1060,0.0,0.0,0.0,0.0004635423909516525
LAT,3x3 Basketball,0,4,0,0,8,8,40,8,0.5,0.0,0.0,0.0
LAT,Art Competitions,0,0,24,0,51,49,3422,56,0.0,0.0,0.0,0.0070134424313267095
LAT,Athletics,1,0,149,4,1373,1422,36743,1404,0.0,0.002849002849002849,0.0007283321194464676,0.004055194186647797
LAT,Basketball,0,0,19,0,380,389,3672,383,0.0,0.0,0.0,0.0051742919389978215
LAT,Beach Volleyball,2,0,10,0,28,28,576,28,0.0,0.0,0.07142857142857142,0.017361111111111112
LAT,Boxing,0,0,3,0,467,265,5340,264,0.0,0.0,0.0,0.0005617977528089888
LAT,Canoe Sprint,0,0,1,0,22,22,346,22,0.0,0.0,0.0,0.002890173410404624
LAT,Canoeing,0,0,18,2,389,388,5006,388,0.0,0.005154639175257732,0.0,0.003595685177786656
LAT,Cycling,1,2,59,0,414,424,9596,425,0.0047169811320754715,0.0,0.0024154589371980675,0.006148395164651938
LAT,Cycling BMX Racing,0,0,2,0,2,2,42,2,0.0,0.0,0.0,0.047619047619047616
LAT,Cycling Road,0,0,3,0,4,4,247,4,0.0,0.0,0.0,0.012145748987854251
